signup_date,forecast,total
2017-06-30,Estimate,133
2017-06-29,Estimate,138
2017-06-28,Estimate,135
2017-06-27,Estimate,131
2017-06-26,Estimate,136
2017-06-25,Estimate,151
2017-06-24,Estimate,132
2017-06-23,Estimate,130
2017-06-22,Estimate,135
2017-06-21,Estimate,132
2017-06-20,Estimate,129
2017-06-19,Estimate,134
2017-06-18,Estimate,149
2017-06-17,Estimate,129
2017-06-16,Estimate,128
2017-06-15,Estimate,133
2017-06-14,Estimate,130
2017-06-13,Estimate,126
2017-06-12,Estimate,131
2017-06-11,Estimate,146
2017-06-10,Estimate,127
2017-06-09,Estimate,125
2017-06-08,Estimate,130
2017-06-07,Estimate,127
2017-06-06,Estimate,124
2017-06-05,Estimate,129
2017-06-04,Estimate,143
2017-06-03,Estimate,124
2017-06-02,Estimate,123
2017-06-01,Estimate,128
2017-05-31,Estimate,125
2017-05-30,Estimate,122
2017-05-29,Estimate,126
2017-05-28,Estimate,140
2017-05-27,Estimate,122
2017-05-26,Estimate,121
2017-05-25,Estimate,125
2017-05-24,Estimate,122
2017-05-23,Estimate,119
2017-05-22,Estimate,124
2017-05-21,Estimate,137
2017-05-20,Estimate,120
2017-05-19,Estimate,118
2017-05-18,Estimate,123
2017-05-17,Estimate,120
2017-05-16,Estimate,117
2017-05-15,Estimate,121
2017-05-14,Estimate,135
2017-05-13,Estimate,117
2017-05-12,Estimate,116
2017-05-11,Estimate,120
2017-05-10,Estimate,118
2017-05-09,Estimate,114
2017-05-08,Estimate,119
2017-05-07,Estimate,132
2017-05-06,Estimate,115
2017-05-05,Estimate,113
2017-05-04,Estimate,118
2017-05-03,Estimate,115
2017-05-02,Estimate,112
2017-05-01,Estimate,116
2017-04-30,Estimate,129
2017-04-29,Estimate,112
2017-04-28,Estimate,111
2017-04-27,Estimate,115
2017-04-26,Estimate,113
2017-04-25,Estimate,109
2017-04-24,Estimate,114
2017-04-23,Estimate,126
2017-04-22,Estimate,110
2017-04-21,Estimate,108
2017-04-20,Estimate,112
2017-04-19,Estimate,110
2017-04-18,Estimate,107
2017-04-17,Estimate,111
2017-04-16,Estimate,123
2017-04-15,Estimate,107
2017-04-14,Estimate,106
2017-04-13,Estimate,110
2017-04-12,Estimate,108
2017-04-11,Estimate,105
2017-04-10,Estimate,109
2017-04-09,Estimate,121
2017-04-08,Estimate,105
2017-04-07,Estimate,104
2017-04-06,Estimate,107
2017-04-05,Estimate,105
2017-04-04,Estimate,102
2017-04-03,Estimate,106
2017-04-02,Estimate,118
2017-04-01,Estimate,102
2017-03-31,Actual,107
2017-03-30,Actual,104
2017-03-29,Actual,113
2017-03-28,Actual,73
2017-03-27,Actual,105
2017-03-26,Actual,134
2017-03-25,Actual,105
2017-03-24,Actual,92
2017-03-23,Actual,99
2017-03-22,Actual,103
2017-03-21,Actual,91
2017-03-20,Actual,101
2017-03-19,Actual,117
2017-03-18,Actual,102
2017-03-17,Actual,108
2017-03-16,Actual,102
2017-03-15,Actual,100
2017-03-14,Actual,129
2017-03-13,Actual,105
2017-03-12,Actual,96
2017-03-11,Actual,105
2017-03-10,Actual,106
2017-03-09,Actual,142
2017-03-08,Actual,75
2017-03-07,Actual,86
2017-03-06,Actual,81
2017-03-05,Actual,124
2017-03-04,Actual,95
2017-03-03,Actual,67
2017-03-02,Actual,102
2017-03-01,Actual,99
2017-02-28,Actual,103
2017-02-27,Actual,108
2017-02-26,Actual,127
2017-02-25,Actual,86
2017-02-24,Actual,92
2017-02-23,Actual,113
2017-02-22,Actual,99
2017-02-21,Actual,135
2017-02-20,Actual,97
2017-02-19,Actual,80
2017-02-18,Actual,94
2017-02-17,Actual,84
2017-02-16,Actual,106
2017-02-15,Actual,85
2017-02-14,Actual,82
2017-02-13,Actual,103
2017-02-12,Actual,78
2017-02-11,Actual,98
2017-02-10,Actual,91
2017-02-09,Actual,113
2017-02-08,Actual,121
2017-02-07,Actual,101
2017-02-06,Actual,113
2017-02-05,Actual,101
2017-02-04,Actual,103
2017-02-03,Actual,67
2017-02-02,Actual,94
2017-02-01,Actual,101
2017-01-31,Actual,90
2017-01-30,Actual,93
2017-01-29,Actual,85
2017-01-28,Actual,89
2017-01-27,Actual,102
2017-01-26,Actual,69
2017-01-25,Actual,99
2017-01-24,Actual,131
2017-01-23,Actual,83
2017-01-22,Actual,109
2017-01-21,Actual,97
2017-01-20,Actual,82
2017-01-19,Actual,104
2017-01-18,Actual,107
2017-01-17,Actual,94
2017-01-16,Actual,86
2017-01-15,Actual,114
2017-01-14,Actual,96
2017-01-13,Actual,98
2017-01-12,Actual,109
2017-01-11,Actual,96
2017-01-10,Actual,106
2017-01-09,Actual,102
2017-01-08,Actual,108
2017-01-07,Actual,96
2017-01-06,Actual,97
2017-01-05,Actual,86
2017-01-04,Actual,97
2017-01-03,Actual,80
2017-01-02,Actual,97
2017-01-01,Actual,115